run,N,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-28-20211009-00:30:30-21068,80,13,TARPNetwork.node[17].app[0],NaN,NaN,1024,1024000,1024,1200,1200,1200000
RandomWaypointMobility-28-20211009-00:30:30-21068,80,13,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-25-20211009-00:16:56-21068,80,10,TARPNetwork.node[17].app[0],NaN,NaN,909,909000,909,1200,1200,1200000
RandomWaypointMobility-19-20211009-00:34:05-16296,80,4,TARPNetwork.node[17].app[0],NaN,NaN,857,857000,857,1200,1200,1200000
RandomWaypointMobility-19-20211009-00:34:05-16296,80,4,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-16-20211009-00:21:26-16296,80,1,TARPNetwork.node[17].app[0],NaN,NaN,998,998000,998,1200,1200,1200000
RandomWaypointMobility-24-20211009-00:33:46-24040,80,9,TARPNetwork.node[22].app[0],1103,1103000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-20-20211009-00:16:57-24040,80,5,TARPNetwork.node[22].app[0],1170,1170000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-20-20211009-00:16:57-24040,80,5,TARPNetwork.node[17].app[0],NaN,NaN,895,895000,895,1200,1200,1200000
RandomWaypointMobility-27-20211009-00:26:09-21068,80,12,TARPNetwork.node[17].app[0],NaN,NaN,880,880000,880,1200,1200,1200000
RandomWaypointMobility-27-20211009-00:26:09-21068,80,12,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-21-20211009-00:21:18-24040,80,6,TARPNetwork.node[17].app[0],NaN,NaN,922,922000,922,1200,1200,1200000
RandomWaypointMobility-23-20211009-00:29:53-24040,80,8,TARPNetwork.node[17].app[0],NaN,NaN,885,885000,885,1200,1200,1200000
RandomWaypointMobility-21-20211009-00:21:18-24040,80,6,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-26-20211009-00:21:13-21068,80,11,TARPNetwork.node[17].app[0],NaN,NaN,1021,1021000,1021,1200,1200,1200000
RandomWaypointMobility-26-20211009-00:21:13-21068,80,11,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-18-20211009-00:30:26-16296,80,3,TARPNetwork.node[17].app[0],NaN,NaN,804,804000,804,1200,1200,1200000
RandomWaypointMobility-24-20211009-00:33:46-24040,80,9,TARPNetwork.node[17].app[0],NaN,NaN,862,862000,862,1200,1200,1200000
RandomWaypointMobility-22-20211009-00:25:53-24040,80,7,TARPNetwork.node[17].app[0],NaN,NaN,852,852000,852,1200,1200,1200000
RandomWaypointMobility-18-20211009-00:30:26-16296,80,3,TARPNetwork.node[22].app[0],1129,1129000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-17-20211009-00:26:11-16296,80,2,TARPNetwork.node[17].app[0],NaN,NaN,887,887000,887,1200,1200,1200000
RandomWaypointMobility-23-20211009-00:29:53-24040,80,8,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-29-20211009-00:34:35-21068,80,14,TARPNetwork.node[17].app[0],NaN,NaN,874,874000,874,1200,1200,1200000
RandomWaypointMobility-17-20211009-00:26:11-16296,80,2,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-29-20211009-00:34:35-21068,80,14,TARPNetwork.node[22].app[0],1139,1139000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-25-20211009-00:16:56-21068,80,10,TARPNetwork.node[22].app[0],1191,1191000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-22-20211009-00:25:53-24040,80,7,TARPNetwork.node[22].app[0],1152,1152000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-15-20211009-00:16:56-16296,80,0,TARPNetwork.node[22].app[0],1199,1199000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-15-20211009-00:16:56-16296,80,0,TARPNetwork.node[17].app[0],NaN,NaN,978,978000,978,1200,1200,1200000
RandomWaypointMobility-16-20211009-00:21:26-16296,80,1,TARPNetwork.node[22].app[0],1139,1139000,NaN,NaN,NaN,NaN,NaN,NaN
